,Team,Conf.,Record,#1 Match,#2 Match,#3 Match,Avg. Seed,Most Likely Seed,Made Tourney
77,Duquesne,A10,1-1,Houston2009,Virginia2004,Niagara2009,11.62,11,0.19721310448862528
78,UAB,CUSA,7-1,Georgetown2003,Syracuse2002,BYU2012,12.25,13,0.21070168572507852
79,Pittsburgh,ACC,5-2,Syracuse2002,Villanova2003,Davidson2009,12.05,13,0.152860756886529
80,San Francisco,WCC,6-4,Louisiana Lafayette2003,BYU2013,UNLV2003,12.59,13,0.2576929884057275
81,Auburn,SEC,6-3,Manhattan2014,Buffalo2005,Wake Forest2008,12.61,13,0.3532620645843102
82,Furman,SC,7-3,Boston College2002,Louisiana Lafayette2004,Virginia2004,11.98,11,0.42230413252426874
83,Wichita St.,Amer,5-2,Buffalo2005,Texas Tech2008,Evansville2016,12.43,13,0.19933930845588077
84,Marshall,CUSA,6-1,UAB2003,East Tennessee St.2004,East Tennessee St.2002,12.46,13,0.03520952752221103
85,Cincinnati,Amer,2-5,Syracuse2002,Georgetown2003,Arkansas2013,13.22,13,0.1224971532417855
86,Toledo,MAC,7-3,Lehigh2012,Texas A&M2019,Fresno St.2019,14.67,15,0.3269074012423331
87,St. John's,BE,6-4,Georgia Southern2019,Washington2004,Duquesne2008,10.05,8,0.21424986361701295
88,Dayton,A10,4-2,George Washington2007,Rutgers2004,St. John's2003,11.28,11,0.22803134245053336
89,New Mexico St.,WAC,2-1,Florida St.2015,Northern Iowa2004,Kent St.2005,12.78,14,0.2785242785112039
90,Colorado St.,MWC,5-1,DePaul2018,San Diego St.2002,Iowa2004,13.0,13,0.21757410373903596
91,Utah St.,MWC,5-3,San Francisco2017,Davidson2009,San Diego St.2007,12.11,14,0.05761256532996381
92,Tulsa,Amer,5-3,South Carolina2003,Northwestern2019,Western Michigan2003,13.07,13,0.17602496138019202
93,UCF,Amer,3-2,George Mason2004,Memphis2011,Cal St. Bakersfield2016,12.37,12,0.16171584503388553
94,Liberty,ASun,8-3,Colorado2015,UTEP2015,UC Santa Barbara2002,13.31,14,0.13242408633219127
95,Georgia,SEC,7-1,Fresno St.2002,East Tennessee St.2004,Massachusetts2012,13.23,13,0.21139886646418776
96,Abilene Christian,Slnd,8-2,San Diego St.2007,Fresno St.2007,Louisiana Tech2013,10.14,9,0.08743222800149368
97,South Florida,Amer,5-4,Memphis2011,Cal St. Bakersfield2016,George Mason2004,11.98,12,0.30400714726975175
98,Wright St.,Horz,6-1,Providence2002,Cal St. Northridge2009,Fresno St.2002,13.77,15,0.22473768323306903
99,Butler,BE,2-4,Rice2005,Tulsa2011,Oral Roberts2007,14.01,14,0.02747347374738159
100,Bradley,MVC,6-3,USC2013,Iowa2011,Saint Louis2019,12.56,13,0.15117608539486627
101,Missouri St.,MVC,4-1,Louisiana Tech2017,St. Bonaventure2017,Fresno St.2016,13.71,14,0.10970680652105547
102,Georgia St.,SB,6-1,Ohio2017,Iowa St.2004,Auburn2007,13.91,13,0.10034613329598234
103,Nebraska,B10,4-6,Fresno St.2002,Providence2002,Cal St. Northridge2009,13.71,15,0.04993889811264726
104,Vermont,AE,2-2,Pittsburgh2019,Penn2019,UNC Greensboro2019,None,0,0.0
105,Winthrop,BSth,7-0,Duquesne2008,BYU2017,Massachusetts2008,13.1,15,0.1946390252836207
106,Ohio,MAC,4-4,UNLV2005,Fresno St.2016,Louisiana Tech2017,13.9,14,0.2450097819933867
107,Northern Iowa,MVC,2-5,Northeastern2006,New Mexico St.2007,East Tennessee St.2009,14.25,13,0.26092087444439893
108,Old Dominion,CUSA,3-2,Houston2007,Louisiana Tech2010,Colorado2018,13.8,14,0.04795380193737463
109,Georgetown,BE,3-5,Stephen F. Austin2018,Northeastern2005,Texas A&M2003,13.97,14,0.4033835883047606
110,Kansas St.,B12,5-5,College of Charleston2017,Georgia Tech2014,Belmont2004,None,0,0.0
111,South Dakota St.,Sum,5-3,Providence2011,Texas Tech2009,BYU2006,13.27,14,0.13160235560135145
112,Boston College,ACC,2-6,Northern Colorado2018,Winthrop2017,UTEP2008,13.71,14,0.192858698952657
113,Texas A&M,SEC,5-2,USC2013,Kansas St.2004,Saint Louis2019,13.44,13,0.14968583590780732
114,Washington,P12,1-6,Rutgers2003,Rhode Island2003,Georgia2006,14.0,14,0.020605378894578714
115,Buffalo,MAC,3-3,Washington2002,Northeastern2005,Stephen F. Austin2018,14.0,14,0.10648739218185349
116,Wake Forest,ACC,2-0,East Tennessee St.2009,Wake Forest2007,Northeastern2006,15.45,16,0.18260790098595014
117,Indiana St.,MVC,3-4,Georgia Tech2006,Wyoming2005,Stanford2017,15.46,15,0.04480234182548572
118,Iowa St.,B12,2-4,Arkansas Little Rock2002,Tulsa2019,Mississippi St.2017,14.62,14,0.09685486259242332
119,UNC Greensboro,SC,5-3,Georgia Tech2009,Louisiana Lafayette2002,Providence2002,12.42,15,0.05902917614684401
120,UTEP,CUSA,4-2,Georgia Tech2006,Florida Gulf Coast2013,Northern Colorado2010,15.0,15,0.0875558979425567
121,Louisiana Tech,CUSA,7-2,VCU2002,Texas A&M Corpus Chris2006,Vanderbilt2003,14.96,15,0.08567078916506504
122,Pacific,WCC,3-1,Utah2010,New Mexico St.2016,UC Santa Barbara2008,14.07,14,0.10372034575608445
123,Washington St.,P12,8-0,Sam Houston St.2008,Fresno St.2007,Cal St. Bakersfield2017,9.0,9,0.02910013925153922
124,Loyola Marymount,WCC,5-3,Florida Gulf Coast2013,Georgia Tech2006,Northern Colorado2010,15.0,15,0.17373873752101815
125,UC Riverside,BW,3-1,Virginia2009,Colorado St.2010,UC Santa Barbara2010,14.5,15,0.07537666992280849
126,Massachusetts,A10,2-3,Colorado2002,Duquesne2016,LIU Brooklyn2011,14.28,14,0.26310446034448187
127,Belmont,OVC,9-1,Saint Joseph's2018,Oral Roberts2002,Washington2002,13.69,14,0.04999745309042997
128,Nevada,MWC,6-3,Texas A&M Corpus Chris2006,VCU2002,Washington2002,14.47,14,0.024040228577353807
129,UC Irvine,BW,5-4,TCU2016,Wake Forest2013,Georgia2006,14.35,14,0.10352215337161344
130,East Carolina,Amer,7-1,Wake Forest2013,Wright St.2018,South Florida2003,14.67,14,0.15824777249955083
131,Pepperdine,WCC,4-5,Lehigh2017,Siena2016,USC2005,14.43,14,0.08171961796978294
132,Santa Clara,WCC,6-2,Nevada2016,Brown2019,Sam Houston St.2005,13.24,15,0.06471178606311243
133,California,P12,5-4,Kent St.2009,UCF2003,Akron2011,15.0,15,0.08062355729474943
134,Murray St.,OVC,4-4,Sam Houston St.2003,Florida Gulf Coast2013,San Diego St.2004,15.12,15,0.24965561539488448
135,Little Rock,SB,4-3,La Salle2018,Southern Illinois2016,Fresno St.2006,15.0,15,0.015671117174656447
136,Wyoming,MWC,6-1,Detroit2011,Lehigh2017,Samford2019,14.53,15,0.08916042340858243
137,UNLV,MWC,1-4,La Salle2018,Fresno St.2006,Southern Illinois2016,14.48,14,0.033206466084255745
138,Eastern Washington,BSky,2-4,Cal St. Northridge2008,Georgia Southern2004,Oakland2017,14.5,14,0.023853454205334235
139,George Mason,A10,5-2,Wyoming2004,Florida Gulf Coast2013,Tennessee Tech2003,14.78,15,0.1118837518396825
140,Grand Canyon,WAC,4-3,Miami OH2019,Albany2016,Santa Clara2011,15.0,15,0.035903752967492125
141,Oregon St.,P12,4-3,USC Upstate2012,Penn St.2016,Georgia St.2004,15.21,15,0.026405978289185967
142,Vanderbilt,SEC,4-3,Missouri2017,Wyoming2004,Colorado St.2004,15.45,15,0.03715439196329037
143,Monmouth,MAAC,3-2,Wyoming2017,Wyoming2018,Georgia Southern2002,14.73,15,0.08846111356570854
144,Siena,MAAC,0-0,Drake2018,Colorado St.2006,Siena2007,15.27,15,0.035678765852264004
145,Saint Peter's,MAAC,6-3,Georgetown2004,Wyoming2006,Delaware2004,14.98,14,0.025569938931788543
146,Bowling Green,MAC,6-2,Washington2017,DePaul2012,Oakland2002,14.38,14,0.06841634264286042
147,Wofford,SC,4-3,North Carolina Central2017,La Salle2002,Colorado St.2005,15.93,16,0.24847117007597863
148,Saint Joseph's,A10,0-6,Long Beach St.2006,Lipscomb2017,Rider2018,15.02,15,0.10615952288794092
149,Montana,BSky,3-5,East Tennessee St.2010,Southern Miss2003,Jacksonville2011,15.75,16,0.19945825909644457
150,Drexel,CAA,5-2,Indiana St.2015,Delaware2002,Purdue2006,15.69,16,0.08660746675039203
151,Eastern Kentucky,OVC,8-2,East Tennessee St.2003,Georgia Southern2005,Seattle2010,15.0,15,0.12953538027709366
152,Hofstra,CAA,4-3,Troy St.2002,USC2014,Hofstra2004,15.08,15,0.11803761191378068
153,Akron,MAC,3-1,UCF2002,Valparaiso2018,Massachusetts2016,15.0,15,0.015495479073716232
154,Charlotte,CUSA,4-3,Loyola Chicago2016,North Dakota St.2016,Mississippi2006,15.29,15,0.11178070725102823
155,FIU,CUSA,6-2,UTSA2018,DePaul2013,Louisiana Tech2016,14.53,15,0.11014506692141196
156,Ball St.,MAC,4-3,Yale2003,Eastern Washington2002,UAB2013,15.0,15,0.041791153979829375
157,La Salle,A10,4-5,Princeton2019,Chattanooga2005,Southern Miss2003,15.26,15,0.19388711307024264
158,Southern Illinois,MVC,7-1,San Francisco2002,Cal Poly2002,Fresno St.2005,15.73,16,0.05651231556393391
159,Stephen F. Austin,Slnd,3-2,Georgia Southern2004,Massachusetts2017,Texas Pan American2002,None,0,0.0
160,UNC Wilmington,CAA,6-3,Troy St.2002,Saint Joseph's2017,North Texas2007,15.25,15,0.16970574674734534
161,UC Santa Barbara,BW,3-3,George Washington2018,Troy2010,UMKC2004,15.33,15,0.028478399327387327
162,UTSA,CUSA,4-3,North Texas2002,Winthrop2018,Nebraska Omaha2014,15.21,16,0.039337108644498665
163,Chattanooga,SC,9-1,Northwestern St.2005,Tennessee St.2013,Toledo2013,15.65,16,0.05016608950508081
164,Fordham,A10,0-1,Manhattan2009,Monmouth2006,Southern Miss2002,16.0,16,0.14645028782327582
165,Northeastern,CAA,1-5,Miami OH2018,Loyola Chicago2005,Siena2002,15.67,16,0.14910217393135444
166,Bryant,NEC,7-2,Northwestern St.2007,Lipscomb2017,Lipscomb2018,14.87,15,0.11727850955527322
167,Colgate,Pat,0-0,Arkansas St.2005,Lipscomb2011,New Orleans2008,14.92,15,0.1118552770736667
168,Western Carolina,SC,7-3,TCU2003,Winthrop2018,Fairfield2016,None,0,0.0
169,San Diego,WCC,1-3,Delaware2003,East Tennessee St.2007,Eastern Washington2002,15.29,15,0.03834796234554627
170,Mercer,SC,7-2,Bucknell2016,Ball St.2017,Drexel2002,15.25,15,0.04749909627965332
171,UT Arlington,SB,4-4,Cal Poly2003,Cal St. Northridge2002,East Tennessee St.2007,15.37,15,0.03734227835431113
172,Valparaiso,MVC,3-5,East Tennessee St.2007,Tulsa2005,St. Bonaventure2009,15.24,15,0.040915221587102424
173,Southern Utah,BSky,7-1,Duquesne2019,Yale2018,Charleston Southern2012,15.09,15,0.17975338480979305
174,Cal St. Bakersfield,BW,4-3,Southern Miss2004,Texas A&M Corpus Chris2010,East Carolina2003,15.0,15,0.022118852700859035
175,UMBC,AE,7-2,East Tennessee St.2007,Tulsa2005,Stony Brook2019,15.39,15,0.046205794947831946
176,Navy,Pat,3-1,New Orleans2005,Wright St.2004,UC Irvine2005,15.7,16,0.043874808213869645
177,Coastal Carolina,SB,6-1,New Mexico2019,Saint Peter's2005,Northern Illinois2002,None,0,0.0
178,Oral Roberts,Sum,3-5,Fairfield2016,TCU2003,Winthrop2018,None,0,0.0
179,Texas St.,SB,6-3,Lehigh2015,Bowling Green2003,Eastern Michigan2010,15.23,15,0.07828995785804317
180,Jacksonville St.,OVC,7-2,Liberty2004,Western Kentucky2012,Wagner2014,15.86,16,0.30566789904241837
181,Boston University,Pat,0-0,Detroit2014,Appalachian St.2005,Detroit2015,15.0,15,0.014183247037839953
182,Illinois Chicago,Horz,5-2,Stony Brook2019,Buffalo2002,Western Carolina2011,15.78,16,0.080041418166604
