Label,Year,Team,Conference,Wins,Losses,Seed,Outcome
Weber St.2003,2003,Weber St.,BSky,25,5,12.0,R64
Florida St.2003,2003,Florida St.,ACC,14,15,17.0,None
Iowa2003,2003,Iowa,B10,17,14,17.0,None
Saint Louis2003,2003,Saint Louis,CUSA,16,14,17.0,None
San Diego2003,2003,San Diego,WCC,17,12,13.0,R64
South Carolina2003,2003,South Carolina,SEC,12,16,17.0,None
Virginia2003,2003,Virginia,ACC,16,16,17.0,None
Nevada2003,2003,Nevada,WAC,17,14,17.0,None
St. Bonaventure2003,2003,St. Bonaventure,A10,13,14,17.0,None
Southwest Missouri St.2003,2003,Southwest Missouri St.,MVC,17,12,17.0,None
Western Michigan2003,2003,Western Michigan,MAC,20,11,17.0,None
New Mexico St.2003,2003,New Mexico St.,SB,19,9,17.0,None
Utah St.2003,2003,Utah St.,BW,22,9,15.0,R64
Texas A&M2003,2003,Texas A&M,B12,14,14,17.0,None
Vanderbilt2003,2003,Vanderbilt,SEC,11,18,17.0,None
USC2003,2003,USC,P10,13,17,17.0,None
San Diego St.2003,2003,San Diego St.,MWC,15,13,17.0,None
Valparaiso2003,2003,Valparaiso,MCon,20,11,17.0,None
Kent St.2003,2003,Kent St.,MAC,20,10,17.0,None
UC Santa Barbara2003,2003,UC Santa Barbara,BW,18,14,17.0,None
Wyoming2003,2003,Wyoming,MWC,21,11,17.0,None
Richmond2003,2003,Richmond,A10,15,14,17.0,None
Fresno St.2003,2003,Fresno St.,WAC,20,8,17.0,None
Troy St.2003,2003,Troy St.,ASun,25,6,14.0,R64
Miami FL2003,2003,Miami FL,BE,11,17,17.0,None
Rutgers2003,2003,Rutgers,BE,12,16,17.0,None
Baylor2003,2003,Baylor,B12,14,14,17.0,None
Charlotte2003,2003,Charlotte,CUSA,13,16,17.0,None
Colorado St.2003,2003,Colorado St.,MWC,17,14,14.0,R64
Clemson2003,2003,Clemson,ACC,15,13,17.0,None
Murray St.2003,2003,Murray St.,OVC,15,12,17.0,None
UCLA2003,2003,UCLA,P10,10,19,17.0,None
Tulane2003,2003,Tulane,CUSA,15,15,17.0,None
Eastern Washington2003,2003,Eastern Washington,BSky,17,13,17.0,None
George Washington2003,2003,George Washington,A10,12,17,17.0,None
Drexel2003,2003,Drexel,CAA,18,12,17.0,None
Rice2003,2003,Rice,WAC,17,10,17.0,None
West Virginia2003,2003,West Virginia,BE,14,15,17.0,None
South Florida2003,2003,South Florida,CUSA,14,14,17.0,None
Hawaii2003,2003,Hawaii,WAC,19,12,17.0,None
Rhode Island2003,2003,Rhode Island,A10,19,12,17.0,None
George Mason2003,2003,George Mason,CAA,16,12,17.0,None
San Francisco2003,2003,San Francisco,WCC,14,14,17.0,None
UC Irvine2003,2003,UC Irvine,BW,19,9,17.0,None
College of Charleston2003,2003,College of Charleston,SC,23,8,17.0,None
VCU2003,2003,VCU,CAA,18,10,17.0,None
Siena2003,2003,Siena,MAAC,21,11,17.0,None
