,Team,Conf.,Record,#1 Match,#2 Match,#3 Match,Avg. Seed,Most Likely Seed,Made Tourney
59,Toledo,MAC,11-3,Gonzaga2007,Georgia Tech2016,Rhode Island2010,8.88,10,0.4426990914463574
60,UAB,CUSA,10-1,Connecticut2010,Auburn2009,Mississippi St.2005,9.06,9,0.5317620459488094
61,St. Bonaventure,A10,6-1,Penn2002,Tennessee2011,Kansas St.2007,9.94,11,0.6293321862746547
62,Wichita St.,Amer,8-3,Stephen F. Austin2016,Virginia2007,Gonzaga2003,9.18,9,0.5052449557658609
63,Georgia Tech,ACC,6-3,VCU2009,California2003,Maryland2009,10.08,11,0.6259258810428047
64,Providence,BE,7-6,Marquette2014,North Carolina St.2003,Xavier2019,10.88,10,0.4977784937107558
65,Utah,P12,5-5,Old Dominion2018,Stanford2007,Florida St.2008,10.25,11,0.4788434495218208
66,Kentucky,SEC,4-7,Auburn2003,UTEP2011,Kentucky2009,9.63,8,0.4075361524163023
67,Memphis,Amer,6-4,UAB2004,BYU2012,St. John's2002,10.14,9,0.3580770399139252
68,SMU,Amer,7-2,Virginia Tech2016,Arkansas2016,LSU2014,10.73,11,0.36686170296040393
69,Mississippi St.,SEC,8-5,Southern Miss2012,Northwestern2016,Miami FL2011,10.08,9,0.3395246653328797
70,Arizona St.,P12,4-5,Louisville2002,Memphis2019,Memphis2016,9.87,13,0.24536748145949952
71,Rhode Island,A10,6-7,Villanova2003,Clemson2005,Clemson2006,10.82,9,0.3064258950206835
72,Saint Mary's,WCC,9-4,Northern Iowa2013,Illinois2014,Southern Illinois2008,11.84,13,0.20036801464454224
73,South Carolina,SEC,3-2,Maryland2006,Massachusetts2012,Southern Illinois2002,12.16,13,0.24061799410282445
74,DePaul,BE,1-4,Maryland2008,UTEP2009,Arkansas2013,12.08,13,0.27127754869304926
75,North Texas,CUSA,6-5,Oral Roberts2008,Oklahoma2004,UAB2010,12.45,13,0.2775612260928359
76,Davidson,A10,7-5,Mississippi2003,Stephen F. Austin2014,Harvard2011,9.93,12,0.26216518505859293
77,Pittsburgh,ACC,6-2,Hawaii2007,Davidson2009,San Diego St.2007,11.28,13,0.1970884953437317
78,Auburn,SEC,7-6,Boston College2002,Washington2012,Illinois St.2013,11.81,11,0.3539818723955349
79,Wright St.,Horz,8-4,San Francisco2017,Syracuse2002,Villanova2003,12.24,13,0.22046430508999756
80,Tulsa,Amer,7-4,Oklahoma2004,Ohio St.2003,Sam Houston St.2015,12.84,13,0.26260760123989296
81,Furman,SC,9-3,Boise St.2016,Rice2004,Ball St.2002,12.61,14,0.2307517440361703
82,Missouri St.,MVC,8-1,Montana2018,Seton Hall2009,Arizona St.2016,12.27,14,0.23498235003950818
83,Notre Dame,ACC,3-8,Oregon St.2014,Northern Iowa2014,Florida2008,11.93,12,0.14182012695987495
84,St. John's,BE,7-6,Georgia Southern2019,Duquesne2008,UNLV2002,11.6,8,0.20059237914103595
85,Dayton,A10,7-3,Penn2004,Western Michigan2008,Pacific2004,12.37,14,0.18468054351707128
86,San Francisco,WCC,9-6,Iowa2004,San Francisco2017,Grand Canyon2018,12.72,13,0.17593376571988603
87,Marshall,CUSA,7-3,Monmouth2016,Arizona St.2002,South Florida2002,12.64,14,0.16989408404387737
88,New Mexico St.,WAC,2-1,Creighton2004,Saint Mary's2005,Virginia2006,12.42,14,0.17016086562160282
